raw_sentence,tag,cleaned_sentence
"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid . 
",positive,if there be a way to effectively teach kid about the danger of drug I think it be in project like the unfortunately r rate pay
"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy . 
",positive,while it would be easy to give crush the new title of two wedding and a funeral it be a far more thoughtful film than any slice of hugh grant whimsy
"though everything might be literate and smart , it never took off and always seemed static . 
",positive,though everything might be literate and smart it never take off and always seem static
"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days
",positive,cantet perfectly capture the hotel lobby two lane highway and roadside cafe that permeate vincent  day
"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn . 
",positive,ms fulford wierzbicki be almost spooky in her sulky calculate lolita turn
"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them . 
",positive,though it be by no mean his good work laissez passer be a distinguished and distinctive effort by a bona fide master a fascinating film replete with reward to be have by all willing to make the effort to reap they
"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series . 
",positive,like most bond outing in recent year some of the stunt be so outlandish that they border on be cartoonlike a heavy reliance on cgi technology be begin to creep into the series
"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg . 
",positive,newton draw our attention like a magnet and act circle around her well know co star mark wahlberg
"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride . 
",positive,the story lose its bite in a last minute happy ending that be even less plausible than the rest of the picture much of the way though this be a refreshingly novel ride
"fuller would surely have called this gutsy and at times exhilarating movie a great yarn . 
",positive,full would surely have call this gutsy and at time exhilarate movie a great yarn
"'compleja e intelectualmente retadora , el ladrÃ³n de orquÃ­deas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '
",positive,compleja e intelectualmente retadora el ladrã³n de orquã­deas es uno de esos filmes que vale la pena ver precisamente por su originalidad
"the film makes a strong case for the importance of the musicians in creating the motown sound . 
",positive,the film make a strong case for the importance of the musician in create the motown sound
"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat . 
",positive,karmen move like rhythm itself her lip chant to the beat her long braid hair do little to wipe away the jeweled bead of sweat
"gosling provides an amazing performance that dwarfs everything else in the film . 
",positive,gosling provide an amazing performance that dwarf everything else in the film
"a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know . 
",positive,a real movie about real people that give we a rare glimpse into a culture most of we do not know
"tender yet lacerating and darkly funny fable . 
",positive,tender yet lacerating and darkly funny fable
"may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today . 
",positive,may be spoof an easy target those old 50  giant creature feature but it acknowledge and celebrate their cheesiness as the reason why people get a kick out of watch they today
"an engaging overview of johnson's eccentric career . 
",positive,an engage overview of johnson  eccentric career
"in its ragged , cheap and unassuming way , the movie works . 
",positive,in its ragged cheap and unassuming way the movie work
"some actors have so much charisma that you'd be happy to listen to them reading the phone book . hugh grant and sandra bullock are two such likeable actors . 
",positive,some actor have so much charisma that you 'd be happy to listen to they read the phone book hugh grant and sandra bullock be two such likeable actor
"sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open . 
",positive,sandra nettelbeck beautifully orchestrate the transformation of the chilly neurotic and self absorb martha as her heart begin to open
"behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of heart . 
",positive,behind the snow game and lovable siberian husky plus one sheep dog the picture host a parka wrap dose of heart
"everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse . 
",positive,everytime you think undercover brother have run out of steam it find a new way to surprise and amuse
"manages to be original , even though it rips off many of its ideas . 
",positive,manage to be original even though it rip off many of its idea
"singer/composer bryan adams contributes a slew of songs â€” a few potential hits , a few more simply intrusive to the story â€” but the whole package certainly captures the intended , er , spirit of the piece . 
",positive,singer composer bryan adams contribute a slew of song â€ a few potential hit a few more simply intrusive to the story â€ but the whole package certainly capture the intend er spirit of the piece
"you'd think by now america would have had enough of plucky british eccentrics with hearts of gold . yet the act is still charming here . 
",positive,you 'd think by now america would have have enough of plucky british eccentric with heart of gold yet the act be still charming here
"whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably fascinating and playful fellow . 
",positive,whether or not you be enlighten by any of derrida  lecture on the other and the self derrida be an undeniably fascinating and playful fellow
"a pleasant enough movie , held together by skilled ensemble actors . 
",positive,a pleasant enough movie hold together by skilled ensemble actor
"this is the best american movie about troubled teens since 1998's whatever . 
",positive,this be the good american movie about troubled teen since 1998 be whatever
"disney has always been hit-or-miss when bringing beloved kids' books to the screen . . . tuck everlasting is a little of both . 
",positive,disney have always be hit or miss when bring beloved kid book to the screen tuck everlasting be a little of both
"just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing . 
",positive,just the labour involve in create the layered richness of the imagery in this chiaroscuro of madness and light be astonishing
"the animated subplot keenly depicts the inner struggles of our adolescent heroes - insecure , uncontrolled , and intense . 
",positive,the animated subplot keenly depict the inner struggle of our adolescent hero insecure uncontrolled and intense
"the invincible werner herzog is alive and well and living in la
",positive,the invincible werner herzog be alive and well and live in la
"morton is a great actress portraying a complex character , but morvern callar grows less compelling the farther it meanders from its shocking start . 
",positive,morton be a great actress portray a complex character but morvern callar grow less compelling the farth it meander from its shocking start
"part of the charm of satin rouge is that it avoids the obvious with humour and lightness . 
",positive,part of the charm of satin rouge be that it avoid the obvious with humour and lightness
"son of the bride may be a good half-hour too long but comes replete with a flattering sense of mystery and quietness . 
",positive,son of the bride may be a good half hour too long but come replete with a flattering sense of mystery and quietness
"a simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them . 
",positive,a simmer psychological drama in which the burst of sudden violence be all the more startling for the slow buildup that have precede they
"a taut , intelligent psychological drama . 
",positive,a taut intelligent psychological drama
"a compelling coming-of-age drama about the arduous journey of a sensitive young girl through a series of foster homes and a fierce struggle to pull free from her dangerous and domineering mother's hold over her . 
",positive,a compelling come of age drama about the arduous journey of a sensitive young girl through a series of foster home and a fierce struggle to pull free from her dangerous and domineering mother  hold over she
"a truly moving experience , and a perfect example of how art -- when done right -- can help heal , clarify , and comfort . 
",positive,a truly move experience and a perfect example of how art when do right can help heal clarify and comfort
"this delicately observed story , deeply felt and masterfully stylized , is a triumph for its maverick director . 
",positive,this delicately observed story deeply feel and masterfully stylize be a triumph for its maverick director
"at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance . 
",positive,at heart the movie be a deftly wrought suspense yarn whose rich shading work as color rather than substance
"the appearance of treebeard and gollum's expanded role will either have you loving what you're seeing , or rolling your eyes . i loved it ! gollum's 'performance' is incredible ! 
",positive,the appearance of treebeard and gollum  expand role will either have you love what you be see or roll your eye I love it gollum  performance be incredible
"a screenplay more ingeniously constructed than "" memento "" 
",positive,a screenplay more ingeniously construct than memento
"if this movie were a book , it would be a page-turner , you can't wait to see what happens next . 
",positive,if this movie be a book it would be a page turner you ca not wait to see what happen next
"haneke challenges us to confront the reality of sexual aberration . 
",positive,haneke challenge we to confront the reality of sexual aberration
"absorbing and disturbing -- perhaps more disturbing than originally intended -- but a little clarity would have gone a long way . 
",positive,absorbing and disturbing perhaps more disturbing than originally intend but a little clarity would have go a long way
"it's the best film of the year so far , the benchmark against which all other best picture contenders should be measured . 
",positive,it be the good film of the year so far the benchmark against which all other good picture contender should be measure
"painful to watch , but viewers willing to take a chance will be rewarded with two of the year's most accomplished and riveting film performances . 
",positive,painful to watch but viewer willing to take a chance will be reward with two of the year  most accomplished and riveting film performance
"this is a startling film that gives you a fascinating , albeit depressing view of iranian rural life close to the iraqi border . 
",positive,this be a startling film that give you a fascinating albeit depressing view of iranian rural life close to the iraqi border
"an imaginative comedy/thriller . 
",positive,an imaginative comedy thriller
"a few artsy flourishes aside , narc is as gritty as a movie gets these days . 
",positive,a few artsy flourish aside narc be as gritty as a movie get these day
"while the isle is both preposterous and thoroughly misogynistic , its vistas are incredibly beautiful to look at . 
",positive,while the isle be both preposterous and thoroughly misogynistic its vista be incredibly beautiful to look at
"together , tok and o orchestrate a buoyant , darkly funny dance of death . in the process , they demonstrate that there's still a lot of life in hong kong cinema . 
",positive,together tok and o orchestrate a buoyant darkly funny dance of death in the process they demonstrate that there be still a lot of life in hong kong cinema
"director kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier english-language movie , the overpraised elizabeth . 
",positive,director kapur be a filmmaker with a real flair for epic landscape and adventure and this be a well film than his early english language movie the overpraised elizabeth
"the movie is a blast of educational energy , as bouncy animation and catchy songs escort you through the entire 85 minutes . 
",positive,the movie be a blast of educational energy as bouncy animation and catchy song escort you through the entire 85 minute
"a sports movie with action that's exciting on the field and a story you care about off it . 
",positive,a sport movie with action that be exciting on the field and a story you care about off it
"doug liman , the director of bourne , directs the traffic well , gets a nice wintry look from his locations , absorbs us with the movie's spycraft and uses damon's ability to be focused and sincere . 
",positive,doug liman the director of bourne direct the traffic well get a nice wintry look from his location absorb we with the movie  spycraft and use damon  ability to be focus and sincere
"the tenderness of the piece is still intact . 
",positive,the tenderness of the piece be still intact
"katz uses archival footage , horrifying documents of lynchings , still photographs and charming old reel-to-reel recordings of meeropol entertaining his children to create his song history , but most powerful of all is the song itself
",positive,katz use archival footage horrifying document of lynching still photograph and charming old reel to reel recording of meeropol entertain his child to create his song history but most powerful of all be the song itself
"like the film's almost anthropologically detailed realization of early-'80s suburbia , it's significant without being overstated . 
",positive,like the film  almost anthropologically detailed realization of early-'80s suburbia it be significant without be overstate
"while mcfarlane's animation lifts the film firmly above the level of other coming-of-age films . . . it's also so jarring that it's hard to get back into the boys' story . 
",positive,while mcfarlane  animation lift the film firmly above the level of other come of age film it be also so jarring that it be hard to get back into the boy story
"if nothing else , this movie introduces a promising , unusual kind of psychological horror . 
",positive,if nothing else this movie introduce a promising unusual kind of psychological horror
"in a normal screen process , these bromides would be barely enough to sustain an interstitial program on the discovery channel . but in imax 3-d , the clichÃ©s disappear into the vertiginous perspectives opened up by the photography . 
",positive,in a normal screen process these bromide would be barely enough to sustain an interstitial program on the discovery channel but in imax 3 d the clichÃ © s disappear into the vertiginous perspective open up by the photography
"writer-director burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear . 
",positive,writer director burger imaginatively fan the ember of a dormant national grief and curiosity that have calcify into chronic cynicism and fear
" . . . a roller-coaster ride of a movie
",positive,a roller coaster ride of a movie
"i enjoyed time of favor while i was watching it , but i was surprised at how quickly it faded from my memory . 
",positive,I enjoy time of favor while I be watch it but I be surprised at how quickly it fade from my memory
"chicago is sophisticated , brash , sardonic , completely joyful in its execution . 
",positive,chicago be sophisticated brash sardonic completely joyful in its execution
"steve irwin's method is ernest hemmingway at accelerated speed and volume . 
",positive,steve irwin  method be ernest hemmingway at accelerated speed and volume
"a refreshing korean film about five female high school friends who face an uphill battle when they try to take their relationships into deeper waters . 
",positive,a refreshing korean film about five female high school friend who face an uphill battle when they try to take their relationship into deep water
"on the surface , it's a lovers-on-the-run crime flick , but it has a lot in common with piesiewicz's and kieslowski's earlier work , films like the double life of veronique . 
",positive,on the surface it be a lover on the run crime flick but it have a lot in common with piesiewicz  and kieslowski  early work film like the double life of veronique
"the values that have held the enterprise crew together through previous adventures and perils do so again-courage , self-sacrifice and patience under pressure . 
",positive,the value that have hold the enterprise crew together through previous adventure and peril do so again courage self sacrifice and patience under pressure
"if it's possible for a sequel to outshine the original , then sl2 does just that . 
",positive,if it be possible for a sequel to outshine the original then sl2 do just that
"a romantic comedy that operates by the rules of its own self-contained universe . 
",positive,a romantic comedy that operate by the rule of its own self contain universe
"4 friends , 2 couples , 2000 miles , and all the pabst blue ribbon beer they can drink - it's the ultimate redneck road-trip . 
",positive,4 friend 2 couple 2000 mile and all the pabst blue ribbon beer they can drink it be the ultimate redneck road trip
"the film is often filled with a sense of pure wonderment and excitement not often seen in today's cinema du sarcasm
",positive,the film be often fill with a sense of pure wonderment and excitement not often see in today  cinema du sarcasm
"it might be tempting to regard mr . andrew and his collaborators as oddballs , but mr . earnhart's quizzical , charming movie allows us to see them , finally , as artists . 
",positive,it might be tempting to regard mr andrew and his collaborator as oddball but mr earnhart  quizzical charming movie allow we to see they finally as artist
"a feel-good picture in the best sense of the term . 
",positive,a feel good picture in the good sense of the term
"edited and shot with a syncopated style mimicking the work of his subjects , pray turns the idea of the documentary on its head , making it rousing , invigorating fun lacking any mtv puffery . 
",positive,edit and shoot with a syncopated style mimic the work of his subject pray turn the idea of the documentary on its head make it rouse invigorate fun lack any mtv puffery
"a mostly intelligent , engrossing and psychologically resonant suspenser . 
",positive,a mostly intelligent engrossing and psychologically resonant suspenser
"it's this memory-as-identity obviation that gives secret life its intermittent unease , reaffirming that long-held illusions are indeed reality , and that erasing them recasts the self . 
",positive,it be this memory as identity obviation that give secret life its intermittent unease reaffirm that long hold illusion be indeed reality and that erase they recast the self
"hip-hop has a history , and it's a metaphor for this love story . 
",positive,hip hop have a history and it be a metaphor for this love story
"in scope , ambition and accomplishment , children of the century . . . takes kurys' career to a whole new level . 
",positive,in scope ambition and accomplishment child of the century take kury career to a whole new level
"this may not have the dramatic gut-wrenching impact of other holocaust films , but it's a compelling story , mainly because of the way it's told by the people who were there . 
",positive,this may not have the dramatic gut wrench impact of other holocaust film but it be a compelling story mainly because of the way it be tell by the people who be there
"between the drama of cube ? s personal revelations regarding what the shop means in the big picture , iconic characters gambol fluidly through the story , with charming results . 
",positive,between the drama of cube s personal revelation regard what the shop mean in the big picture iconic character gambol fluidly through the story with charming result
"a gentle , compassionate drama about grief and healing . 
",positive,a gentle compassionate drama about grief and healing
"somewhere short of tremors on the modern b-scene : neither as funny nor as clever , though an agreeably unpretentious way to spend ninety minutes . 
",positive,somewhere short of tremor on the modern b scene neither as funny nor as clever though an agreeably unpretentious way to spend ninety minute
"digital-video documentary about stand-up comedians is a great glimpse into a very different world . 
",positive,digital video documentary about stand up comedian be a great glimpse into a very different world
"unlike most teen flicks , swimming takes its time to tell its story , casts mostly little-known performers in key roles , and introduces some intriguing ambiguity . 
",positive,unlike most teen flick swimming take its time to tell its story cast mostly little know performer in key role and introduce some intriguing ambiguity
"an enthralling , playful film that constantly frustrates our desire to know the 'truth' about this man , while deconstructing the very format of the biography in a manner that derrida would doubtless give his blessing to . 
",positive,an enthralling playful film that constantly frustrate our desire to know the truth about this man while deconstruct the very format of the biography in a manner that derrida would doubtless give his blessing to
" "" extreme ops "" exceeds expectations . good fun , good action , good acting , good dialogue , good pace , good cinematography . 
",positive,extreme op exceed expectation good fun good action good act good dialogue good pace good cinematography
"you should pay nine bucks for this : because you can hear about suffering afghan refugees on the news and still be unaffected . dramas like this make it human . 
",positive,you should pay nine buck for this because you can hear about suffer afghan refugee on the news and still be unaffected drama like this make it human
"a thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action . still , this flick is fun , and host to some truly excellent sequences . 
",positive,a thunderous ride at first quiet cadence of pure finesse be few and far between their shortage dilute the potency of otherwise respectable action still this flick be fun and host to some truly excellent sequence
"it's obviously struck a responsive chord with many south koreans , and should work its magic in other parts of the world . 
",positive,it be obviously strike a responsive chord with many south korean and should work its magic in other part of the world
"run , don't walk , to see this barbed and bracing comedy on the big screen . 
",positive,run do not walk to see this barbed and brace comedy on the big screen
"a classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done . 
",positive,a classy item by a legend who may have nothing leave to prove but still have the chop and drive to show how its do
"it is nature against progress . in fessenden's horror trilogy , this theme has proved important to him and is especially so in the finale . 
",positive,it be nature against progress in fessenden  horror trilogy this theme have prove important to he and be especially so in the finale
"it's not exactly a gourmet meal but the fare is fair , even coming from the drive-thru . 
",positive,it be not exactly a gourmet meal but the fare be fair even come from the drive thru
"this is what imax was made for : strap on a pair of 3-d goggles , shut out the real world , and take a vicarious voyage to the last frontier -- space . 
",positive,this be what imax be make for strap on a pair of 3 d goggle shut out the real world and take a vicarious voyage to the last frontier space
"merely as a technical , logistical feat , russian ark marks a cinematic milestone . 
",positive,merely as a technical logistical feat russian ark mark a cinematic milestone
"[schweiger is] talented and terribly charismatic , qualities essential to both movie stars and social anarchists . 
",positive,schweiger be talented and terribly charismatic quality essential to both movie star and social anarchist
"it's a great deal of sizzle and very little steak . but what spectacular sizzle it is ! . . . in this incarnation its fizz is infectious . 
",positive,it be a great deal of sizzle and very little steak but what spectacular sizzle it be in this incarnation its fizz be infectious
"an original gem about an obsession with time . 
",positive,an original gem about an obsession with time
"it will delight newcomers to the story and those who know it from bygone days . 
",positive,it will delight newcomer to the story and those who know it from bygone day
"gloriously goofy ( and gory ) midnight movie stuff . 
",positive,gloriously goofy and gory midnight movie stuff
"the film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity . 
",positive,the film overcome the regular minefield of come of age cliche with potent dose of honesty and sensitivity
"if your senses haven't been dulled by slasher films and gorefests , if you're a connoisseur of psychological horror , this is your ticket . 
",positive,if your sense have not be dull by slasher film and gorefest if you be a connoisseur of psychological horror this be your ticket
"it's a minor comedy that tries to balance sweetness with coarseness , while it paints a sad picture of the singles scene . 
",positive,it be a minor comedy that try to balance sweetness with coarseness while it paint a sad picture of the single scene
"it is intensely personal and yet -- unlike quills -- deftly shows us the temper of the times . 
",positive,it be intensely personal and yet unlike quill deftly show we the temper of the time
"as lo-fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity over hardware in a way that george lucas has long forgotten . 
",positive,as lo fi as the special effect be the folk who cobble nemesis together indulge the force of humanity over hardware in a way that george lucas have long forget
"like mike doesn't win any points for originality . it does succeed by following a feel-good formula with a winning style , and by offering its target audience of urban kids some welcome role models and optimism . 
",positive,like mike do not win any point for originality it do succeed by follow a feel good formula with a winning style and by offer its target audience of urban kid some welcome role model and optimism
"it's a hoot and a half , and a great way for the american people to see what a candidate is like when he's not giving the same 15-cent stump speech . 
",positive,it be a hoot and a half and a great way for the american people to see what a candidate be like when he be not give the same 15 cent stump speech
"far from perfect , but its heart is in the right place . . . innocent and well-meaning . 
",positive,far from perfect but its heart be in the right place innocent and well meaning
"a sad , superior human comedy played out on the back roads of life . 
",positive,a sad superior human comedy play out on the back road of life
"waydowntown is by no means a perfect film , but its boasts a huge charm factor and smacks of originality . 
",positive,waydowntown be by no mean a perfect film but its boast a huge charm factor and smack of originality
"tim allen is great in his role but never hogs the scenes from his fellow cast , as there are plenty of laughs and good lines for everyone in this comedy . 
",positive,tim allen be great in his role but never hog the scene from his fellow cast as there be plenty of laugh and good line for everyone in this comedy
"more a load of enjoyable , conan-esque claptrap than the punishing , special-effects soul assaults the mummy pictures represent . 
",positive,more a load of enjoyable conan esque claptrap than the punish special effect soul assault the mummy picture represent
"enormously likable , partly because it is aware of its own grasp of the absurd . 
",positive,enormously likable partly because it be aware of its own grasp of the absurd
"here's a british flick gleefully unconcerned with plausibility , yet just as determined to entertain you . 
",positive,here be a british flick gleefully unconcerned with plausibility yet just as determined to entertain you
"it's an old story , but a lively script , sharp acting and partially animated interludes make just a kiss seem minty fresh . 
",positive,it be an old story but a lively script sharp acting and partially animate interlude make just a kiss seem minty fresh
"must be seen to be believed . 
",positive,must be see to be believe
"ray liotta and jason patric do some of their best work in their underwritten roles , but don't be fooled : nobody deserves any prizes here . 
",positive,ray liotta and jason patric do some of their good work in their underwritten role but do not be fool nobody deserve any prize here
"everything that has to do with yvan and charlotte , and everything that has to do with yvan's rambunctious , jewish sister and her non-jew husband , feels funny and true . 
",positive,everything that have to do with yvan and charlotte and everything that have to do with yvan  rambunctious jewish sister and her non jew husband feel funny and true
"sweet home alabama "" is what it is â€“ a nice , harmless date film . . . 
",positive,sweet home alabama be what it be â€ a nice harmless date film
"the year's happiest surprise , a movie that deals with a real subject in an always surprising way . 
",positive,the year  happy surprise a movie that deal with a real subject in an always surprising way
"fans of behan's work and of irish movies in general will be rewarded by borstal boy . 
",positive,fan of behan  work and of irish movie in general will be reward by borstal boy
"its mysteries are transparently obvious , and it's too slowly paced to be a thriller . [but it's] worth recommending because of two marvelous performances by michael caine and brendan fraser . 
",positive,its mystery be transparently obvious and it be too slowly pace to be a thriller but it be worth recommend because of two marvelous performance by michael caine and brendan fraser
"the film is faithful to what one presumes are the book's twin premises -- that we become who we are on the backs of our parents , but we have no idea who they were at our age ; and that time is a fleeting and precious commodity no matter how old you are . 
",positive,the film be faithful to what one presume be the book  twin premise that we become who we be on the back of our parent but we have no idea who they be at our age and that time be a fleeting and precious commodity no matter how old you be
"stephen earnhart's homespun documentary mule skinner blues has nothing but love for its posse of trailer park denizens . 
",positive,stephen earnhart  homespun documentary mule skinner blue have nothing but love for its posse of trailer park denizen
"a solidly seaworthy chiller . 
",positive,a solidly seaworthy chiller
"if you can get past the fantastical aspects and harsh realities of "" the isle "" you'll get a sock-you-in-the-eye flick that is a visual tour-de-force and a story that is unlike any you will likely see anywhere else . 
",positive,if you can get past the fantastical aspect and harsh reality of the isle you 'll get a sock you in the eye flick that be a visual tour de force and a story that be unlike any you will likely see anywhere else
"there are as many misses as hits , but ultimately , it finds humor in the foibles of human behavior , and it's a welcome return to the roots of a genre that should depend on surprises . 
",positive,there be as many miss as hit but ultimately it find humor in the foible of human behavior and it be a welcome return to the root of a genre that should depend on surprise
"a well-made thriller with a certain level of intelligence and non-reactionary morality . 
",positive,a well make thriller with a certain level of intelligence and non reactionary morality
"there's enough science to make it count as educational , and enough beauty to make it unforgettable . 
",positive,there be enough science to make it count as educational and enough beauty to make it unforgettable
"remains a solid , if somewhat heavy-handed , account of the near-disaster . . . done up by howard with a steady , if not very imaginative , hand . 
",positive,remain a solid if somewhat heavy handed account of the near disaster do up by howard with a steady if not very imaginative hand
"makmalbaf follows a resolutely realistic path in this uncompromising insight into the harsh existence of the kurdish refugees of iran's borderlands . 
",positive,makmalbaf follow a resolutely realistic path in this uncompromising insight into the harsh existence of the kurdish refugee of iran  borderland
"for a good chunk of its running time , trapped is an effective and claustrophobic thriller . 
",positive,for a good chunk of its running time trap be an effective and claustrophobic thriller
"most of crush is a clever and captivating romantic comedy with a welcome pinch of tartness . 
",positive,most of crush be a clever and captivating romantic comedy with a welcome pinch of tartness
"nair does capture the complexity of a big family and its trials and tribulations . . . 
",positive,nair do capture the complexity of a big family and its trial and tribulation
"the seaside splendor and shallow , beautiful people are nice to look at while you wait for the story to get going . 
",positive,the seaside splendor and shallow beautiful people be nice to look at while you wait for the story to get go
"rare is the 'urban comedy' that even attempts the insight and honesty of this disarming indie . 
",positive,rare be the urban comedy that even attempt the insight and honesty of this disarm indie
"ranks among willams' best screen work . 
",positive,rank among willam good screen work
"engagingly captures the maddening and magnetic ebb and flow of friendship . 
",positive,engagingly capture the maddening and magnetic ebb and flow of friendship
"an experience so engrossing it is like being buried in a new environment . 
",positive,an experience so engross it be like be bury in a new environment
"it's traditional moviemaking all the way , but it's done with a lot of careful period attention as well as some very welcome wit . 
",positive,it be traditional moviemaking all the way but it be do with a lot of careful period attention as well as some very welcome wit
"thoroughly enjoyable . 
",positive,thoroughly enjoyable
